Postcode,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021
RG20HF,51.437239,-0.967507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2842,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082718
RG20HG,51.436159,-0.970659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0785,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20HH,51.437262,-0.968232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2638,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20HJ,51.438874,-0.968333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4205,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20HN,51.436337,-0.968396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.167,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20HP,51.444355,-0.976109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7256,E01016391,Reading 020E,E02006940,Central Reading South,E00082798
RG20HS,51.435223,-0.973436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8991,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00177302
RG20HX,51.436009,-0.967843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1519,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00083039
RG20HY,51.434548,-0.968201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9959,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00083039
RG20JA,51.431649,-0.967998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7155,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174536
RG20JB,51.427209,-0.969249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2371,E01016437,Reading 018B,E02003406,Whitley Wood,E00083025
RG20JD,51.442306,-0.97842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4507,E01016388,Reading 013A,E02003401,Coley Park,E00082806
RG20JE,51.429022,-0.968892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4275,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174536
RG20JF,51.427338,-0.969563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2399,E01016437,Reading 018B,E02003406,Whitley Wood,E00083025
RG20JG,51.425498,-0.969842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0493,E01016437,Reading 018B,E02003406,Whitley Wood,E00083025
RG20JH,51.430584,-0.970655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5263,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20JJ,51.441975,-0.977593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4429,E01016388,Reading 013A,E02003401,Coley Park,E00082806
RG20JN,51.431622,-0.969049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6796,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20JQ,51.430785,-0.96891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6012,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20JR,51.432368,-0.967925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7889,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174536
RG20JS,51.436463,-0.969372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1489,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20JT,51.43843,-0.971212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2867,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20JZ,51.443107,-0.975288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6263,E01016388,Reading 013A,E02003401,Coley Park,E00082806
RG20LA,51.432159,-0.968678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7445,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20LG,51.424277,-0.982353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5349,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177353
RG20LJ,51.436038,-0.971209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0494,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20LN,51.441223,-0.968718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6416,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
